Bird,April_4_2017,May_12_2017,May_13_2017,May_14_2017,May_15_2017,May_16_2017,May_17_2017,May_18_2017,May_19_2017,May_20_2017,May_22_2017,May_29_2017,May_30_2017,May_31_2017,June_1_2017
P002,515.7,526.2,503.9,537.9,528.7,524.1,503.2,523.6,593.4,509.5,523.7,493.6,539.7,522.6,535
P105,471.7,447.5,419.2,462.4,465.2,482.1,447.3,471.7,497.6,441.8,451.5,434.8,453.7,451.8,462.4
P003,492.8,488.3,457.9,499.6,499.9,508,480.9,485.7,500.9,491.1,494.1,433.1,442.7,437.3,460.9
P004,450.4,457.1,440.4,448.8,445.6,450,442.5,445,449,444.3,453.6,423.8,447.7,441.4,441.3
P882,547.8,534.7,535.8,548,544.4,547.6,528.2,545.1,541.5,542.2,543.5,537.2,534.2,526,524.7
P047,575,569.1,563,572.3,543.1,574,563.3,567.9,574.4,564.3,571.8,566.2,552,552.5,552
P776,531.5,550.4,540.1,557.8,550.9,556,544.2,554.3,551.1,543,551.3,555.2,564.3,556.7,566.7
P890,506.8,509.4,468.2,521.6,504.6,504.7,505.4,505.6,501.1,487.5,505.8,474.1,511.1,498.7,523.6
P138,598.2,524.5,514.9,522.7,513.8,521.2,501.9,508.8,516.4,513.3,520.3,522.7,534.9,527.3,529.1
P875,,472.5,459.6,463,449.8,476.7,450.9,454.9,464.7,454.8,470,448.6,480.9,461.7,476.5
P498,,530.5,524.2,521.3,507.9,522.5,508.8,519,523.2,514.7,524.4,513.4,521.3,495.1,489.7
P787,,439.5,397.8,473.5,455.3,443.5,411.3,437.3,456.8,420.4,464.5,464.7,455,415.2,435.8
P168,,454.4,446.9,445.6,431.9,446.5,434.7,432.1,438.4,422.7,429.5,418.5,436,410.2,406.1
P796,,557.7,551.8,559.6,555.9,556.6,591.5,551.1,549.7,551.5,563,558.2,563.7,538.8,534.6
P423,,455.8,451,453.6,452.9,454.8,448,449.6,451.5,446.7,451.8,458,452.1,449.9,447.3
P327,,553.1,528.3,554.3,561.4,574.1,560.6,573.7,582.9,563.9,558.9,559.7,559.3,524.5,518.8
P891,,374.2,363.5,380.2,366.7,375.3,360.3,375.3,369.4,361.6,377.1,347.1,348.7,318.8,310.8
P056,,351.2,347.6,346.8,343.5,337.6,336.4,342.3,342.4,339.8,351,354.9,354.8,349.5,354
P736,,465.9,453.9,449.3,441.5,456.1,494.1,450.1,458.3,447.9,465,468.7,465.5,457.5,462.9
P054,,468.8,451.1,471.8,468.3,464.6,457.4,458.2,462.9,452.7,463.7,445.6,479.4,451.5,476.9
P530,,599.5,584.4,601.4,548.4,597.4,574.4,593.9,596.2,594.1,612,596,595,582.8,590.7
P510,,509.5,506.6,508.1,498,505,509.3,507.6,509.9,501.8,531.3,518.4,531.5,520.2,526.4
P051,,440.3,437.2,444.3,438.7,431.1,428.4,428.9,427.2,416.8,426.1,433.2,431.3,431.4,436.4
